impl;instance;total_time;init_time;add_time;eval_time;add_time_per_tp;eval_time_per_tp
ClingoPush;mmediaDet;1.609;0.245;0.016;0.0;0.0;0.0
DoyleHeur;mmediaDet;1.748;0.153;0.019;0.0;0.0;0.0
